person_label	Embeddings
0	[-0.10004331916570663, 0.11248254030942917, 0.03154298663139343, -0.14348503947257996, -0.1963803470134735, 0.039934586733579636, -0.02611088566482067, -0.06557061523199081, 0.2165285050868988, -0.18046915531158447, 0.11754827201366425, -0.08083301782608032, -0.22012995183467865, 0.0435037836432457, -0.07328090071678162, 0.25710153579711914, -0.1676291674375534, -0.2047208696603775, -0.1229812353849411, -0.10166287422180176, -0.06956753134727478, 0.16995131969451904, -0.02406787872314453, 0.0647922158241272, -0.11759429425001144, -0.26777589321136475, -0.033681370317935944, -0.10125649720430374, 0.036811262369155884, -0.11878807842731476, -0.008841145783662796, 0.13444186747074127, -0.09940320998430252, 0.03986170515418053, 0.09789875894784927, 0.137762188911438, -0.08941754698753357, -0.15646779537200928, 0.1441512405872345, 0.041677676141262054, -0.1697043925523758, -0.0568816103041172, 0.024575231596827507, 0.2860642075538635, 0.2244701236486435, -0.023993469774723053, -0.0012802629498764873, -0.11229931563138962, 0.13460060954093933, -0.30344507098197937, 0.022356702014803886, 0.10629869997501373, -0.031095048412680626, 0.11929631233215332, 0.03050963394343853, -0.19736333191394806, 0.03184406831860542, 0.1670030951499939, -0.20341995358467102, 0.048714783042669296, 0.07183630019426346, -0.15019084513187408, -0.06315530836582184, -0.08140112459659576, 0.22611548006534576, 0.10490921884775162, -0.14041653275489807, -0.21684874594211578, 0.18367712199687958, -0.19636274874210358, -0.07410350441932678, 0.032538965344429016, -0.1115131825208664, -0.14033661782741547, -0.19848455488681793, 0.016077691689133644, 0.2972279489040375, 0.18244428932666779, -0.0621463917195797, 0.04961550980806351, 0.0111073674634099, -0.005772909615188837, -0.043200407177209854, 0.143194317817688, -0.05945852771401405, -0.10700052976608276, -0.05193115770816803, 0.03085017204284668, 0.2154211401939392, -0.08280240744352341, 0.0039060190320014954, 0.26925063133239746, -0.06682169437408447, -0.03894123062491417, -0.050417546182870865, 0.021421944722533226, -0.13312721252441406, 0.05226190388202667, -0.0272982157766819, -0.028171926736831665, 0.06845541298389435, -0.07836804538965225, 0.014365899376571178, 0.15373894572257996, -0.14791540801525116, 0.19796307384967804, -0.11777282506227493, 0.03749377280473709, 0.003880881704390049, -0.0778297632932663, -0.07974853366613388, -0.013191928155720234, 0.23786111176013947, -0.17669403553009033, 0.19627651572227478, 0.1878090500831604, 0.09807968884706497, 0.1658904254436493, 0.11351695656776428, 0.07371162623167038, 0.07285122573375702, -0.02083730511367321, -0.21619634330272675, -0.04629816487431526, 0.07944967597723007, -0.04018523544073105, -0.03560939431190491, 0.0835660845041275]
1	[-0.029570000246167183, 0.11082000285387039, 0.09583000093698502, -0.08771000057458878, -0.03889999911189079, -0.03951999917626381, -0.0182499997317791, -0.01892000064253807, 0.12606999278068542, -0.004860000219196081, 0.18694999814033508, -0.03440999984741211, -0.25696998834609985, -0.03410999849438667, -0.0021200000774115324, 0.11234000325202942, -0.13378000259399414, -0.10559000074863434, -0.10943000018596649, -0.07514999806880951, -0.006769999861717224, 0.07151000201702118, 0.04408999904990196, -0.008440000005066395, -0.12734000384807587, -0.32179000973701477, -0.07794000208377838, -0.11403000354766846, 0.1045600026845932, -0.08591999858617783, -0.01322999969124794, -0.011660000309348106, -0.24165000021457672, -0.08647000044584274, 0.011760000139474869, 0.04287000000476837, -0.07652000337839127, -0.12163999676704407, 0.22070999443531036, 0.1207600012421608, -0.17562000453472137, 0.05443999916315079, 0.017139999195933342, 0.26374000310897827, 0.15809999406337738, 0.059790000319480896, 0.0391400009393692, -0.02800999954342842, 0.10385999828577042, -0.23306000232696533, 0.13303999602794647, 0.16245999932289124, 0.15277999639511108, 0.08026000112295151, 0.10830000042915344, -0.176829993724823, 0.050439998507499695, 0.05285000056028366, -0.17226000130176544, 0.025129999965429306, 0.09424000233411789, 0.056759998202323914, -0.020509999245405197, -0.07483000308275223, 0.16753000020980835, 0.050999999046325684, -0.09880000352859497, -0.0860000029206276, 0.14236000180244446, -0.09920000284910202, -0.03564999997615814, 0.04544999822974205, -0.09348999708890915, -0.08724000304937363, -0.25126999616622925, 0.11279000341892242, 0.35367000102996826, 0.14142000675201416, -0.21126000583171844, 0.005510000046342611, -0.09880000352859497, -0.01489999983459711, 0.016140000894665718, 0.022379999980330467, -0.12024000287055969, 0.040950000286102295, -0.07715000212192535, -0.029100000858306885, 0.1340399980545044, -0.022099999710917473, -0.041430000215768814, 0.16339999437332153, 0.0017000000225380063, 0.030969999730587006, 0.04893999919295311, 0.015069999732077122, -0.17351999878883362, -0.024569999426603317, -0.09397000074386597, -0.025189999490976334, 0.09438999742269516, -0.1176299974322319, -0.05017000064253807, 0.1421000063419342, -0.20999999344348907, 0.19554999470710754, 0.014680000022053719, -0.07532999664545059, 0.012369999662041664, 0.10321000218391418, -0.09478999674320221, -0.05569000169634819, 0.12701000273227692, -0.2225400060415268, 0.21258999407291412, 0.18223999440670013, -0.05555000156164169, 0.0943399965763092, 0.12289000302553177, 0.10194999724626541, -0.043800000101327896, 0.06272999942302704, -0.14659999310970306, -0.20011000335216522, 0.028550000861287117, 0.021940000355243683, 0.039489999413490295, 0.05203999951481819]
2	[-0.012731057591736317, 0.13489504158496857, 0.07374005764722824, -0.07339370995759964, -0.0861239805817604, -0.02654566802084446, 0.0046022203750908375, -0.21180252730846405, 0.172196626663208, -0.040434084832668304, 0.11566034704446793, -0.124455526471138, -0.3091440498828888, -0.0012372200144454837, -0.011189845390617847, 0.1435733288526535, -0.0508081428706646, -0.24612592160701752, -0.15197943150997162, -0.07146844267845154, 0.05030069872736931, -0.02741909958422184, 0.0626438558101654, 0.1340443640947342, -0.23873713612556458, -0.23757760226726532, -0.08634544909000397, -0.10138516128063202, -0.03523727133870125, -0.14311178028583527, -0.0112752141430974, 0.08085063099861145, -0.15166378021240234, -0.027187097817659378, 0.05865417420864105, 0.07297554612159729, -0.006167099345475435, -0.13718268275260925, 0.209585502743721, -0.0031704925931990147, -0.22060050070285797, -0.02171640656888485, 0.11227352172136307, 0.25782662630081177, 0.20183078944683075, 0.008870696648955345, 0.12062174826860428, -0.08543287962675095, 0.06677580624818802, -0.2862926125526428, 0.055422380566596985, 0.16501861810684204, 0.019147949293255806, 0.08142442256212234, 0.09356225281953812, -0.1760667860507965, -0.049167707562446594, 0.1471354216337204, -0.20001661777496338, 0.1736534833908081, 0.12707582116127014, -0.11950671672821045, -0.11076247692108154, -0.13287290930747986, 0.25482335686683655, 0.14352214336395264, -0.19551007449626923, -0.1725238859653473, 0.1546495109796524, -0.17847885191440582, -0.12476738542318344, 0.082797110080719, -0.19361457228660583, -0.1342771053314209, -0.33085548877716064, -0.0032982153352349997, 0.4540553390979767, 0.15369635820388794, -0.1858324259519577, 0.0373600535094738, -0.14282521605491638, 0.08298096805810928, -0.049224402755498886, 0.1247960552573204, 0.032047636806964874, -0.002991177374497056, -0.08235163241624832, 0.05662380903959274, 0.21184644103050232, -0.08006317168474197, -0.05585680156946182, 0.2134309709072113, -0.020944243296980858, -0.032348308712244034, -0.09326286613941193, 0.08925005048513412, -0.17113541066646576, -0.0350840799510479, -0.10834165662527084, -0.04459849372506142, -0.007438370492309332, 0.08061270415782928, 0.06490269303321838, 0.14771434664726257, -0.1294155716896057, 0.11685670167207718, -0.024528149515390396, -0.046686410903930664, -0.043532952666282654, 0.055825162678956985, -0.10115979611873627, -0.09873759746551514, 0.13170360028743744, -0.3337785303592682, 0.12660636007785797, 0.1997414529323578, 0.03960449621081352, 0.01718294993042946, 0.01634073257446289, 0.10856805741786957, 0.11800696700811386, 0.06931304931640625, -0.09242577850818634, -0.08664367347955704, 0.043420255184173584, 0.026124071329832077, 0.004583262838423252, 0.05379348620772362]
3	[-0.0948772132396698, -0.047552309930324554, 0.02960684709250927, 0.05434616655111313, -0.0872018039226532, -0.006019900552928448, -0.013645635917782784, -0.0036118640564382076, 0.0905541479587555, 0.010493418201804161, 0.2544209063053131, -0.01846412569284439, -0.25569313764572144, -0.012767767533659935, -0.058503735810518265, 0.0733746886253357, -0.13017341494560242, -0.08404488861560822, -0.06136924773454666, -0.06581461429595947, 0.057953525334596634, 0.14215800166130066, 0.007555193733423948, 0.032145433127880096, -0.12324104458093643, -0.27249693870544434, -0.09442305564880371, -0.1531968116760254, 0.04357702285051346, -0.14431439340114594, -0.040051352232694626, 0.13441021740436554, -0.11610570549964905, -0.0900152325630188, 0.09530144929885864, 0.04604136571288109, -0.08281350135803223, -0.045937929302453995, 0.21479541063308716, 0.07926183938980103, -0.13610894978046417, 0.001955600455403328, 0.010611223056912422, 0.3846152126789093, 0.14099179208278656, 0.05880627781152725, -0.031151017174124718, -0.05478261783719063, 0.06264185160398483, -0.2911015450954437, 0.1231500655412674, 0.18183772265911102, 0.19368840754032135, 0.07801686227321625, 0.07440707087516785, -0.20341454446315765, -0.0055625056847929955, 0.13968531787395477, -0.16251245141029358, 0.17298771440982819, 0.04049729183316231, -0.12396174669265747, 0.03790424019098282, -0.1410818248987198, 0.15244056284427643, 0.01672903448343277, -0.10375887155532837, -0.05473877489566803, 0.1819724142551422, -0.07994799315929413, -0.07856316864490509, 0.12304932624101639, -0.13462644815444946, -0.27098461985588074, -0.20944055914878845, 0.06047840043902397, 0.382656067609787, 0.14873722195625305, -0.21483127772808075, 0.023931428790092468, -0.026855286210775375, -0.03321642428636551, 0.015982884913682938, 0.0717073455452919, -0.06741758435964584, -0.003204659093171358, -0.09374690055847168, -0.001150644151493907, 0.1684357076883316, -0.01952357403934002, -0.04052543267607689, 0.2202138453722, -0.029357051476836205, -0.007506113033741713, 0.14707674086093903, 0.020100653171539307, -0.03408609330654144, -0.041888244450092316, -0.13361972570419312, -0.02882930263876915, -0.0036671748384833336, -0.2318500280380249, -0.017338227480649948, 0.0628448873758316, -0.1489357203245163, 0.17928972840309143, 0.004129329230636358, -0.0335061177611351, -0.027216624468564987, -0.06562338769435883, -0.0916404277086258, 0.06705283373594284, 0.2369968742132187, -0.2992624342441559, 0.2294025719165802, 0.14763201773166656, 0.10797341912984848, 0.21421602368354797, 0.010726938024163246, 0.08841702342033386, -0.08316441625356674, -0.07292702794075012, -0.21488508582115173, -0.09328643232584, 0.07313074171543121, -0.014559591189026833, 0.019799336791038513, 0.05129754915833473]
4	[-0.14028963446617126, 0.05583035945892334, 0.06462053954601288, 0.010610915720462799, -0.06678880751132965, 0.06761571019887924, -0.06210177764296532, -0.02965274080634117, 0.11401744186878204, -0.07567837834358215, 0.28127166628837585, 0.03342006355524063, -0.2084602266550064, -0.0343954861164093, -0.11938229948282242, 0.09228536486625671, -0.10250363498926163, -0.15199685096740723, -0.054243601858615875, -0.03305540606379509, 0.03199926018714905, 0.006741913501173258, -0.016715187579393387, 0.0050149098969995975, -0.1039946973323822, -0.3439037799835205, -0.08964744210243225, -0.05241258442401886, 0.019386809319257736, -0.0704769566655159, -0.018161794170737267, -0.05355281010270119, -0.1928497850894928, -0.0012883536983281374, 0.01984807848930359, 0.06591625511646271, -0.07872308045625687, -0.01989125646650791, 0.15862318873405457, 0.004212033469229937, -0.10703186690807343, 0.03801299259066582, 0.04040870815515518, 0.26304659247398376, 0.16136504709720612, 0.08359159529209137, 0.002494038315489888, -0.14973095059394836, 0.05583546310663223, -0.25547340512275696, 0.13712242245674133, 0.17657069861888885, 0.0994725152850151, 0.1045493334531784, 0.0778936967253685, -0.18631213903427124, -0.04245501011610031, 0.1535060852766037, -0.145419642329216, 0.06122521683573723, -0.06413715332746506, 0.0763292908668518, 0.008090950548648834, -0.13434381783008575, 0.17520301043987274, 0.15617801249027252, -0.12554830312728882, -0.20485231280326843, 0.14411811530590057, -0.16132763028144836, -0.02784961275756359, 0.0842948630452156, -0.08104971796274185, -0.24155524373054504, -0.26454874873161316, 0.112336166203022, 0.410663902759552, 0.20161661505699158, -0.13060951232910156, 0.024117344990372658, -0.06184378266334534, -0.0765787735581398, 0.00459614023566246, -0.007909705862402916, -0.1309743970632553, 0.0034641206730157137, -0.08774755895137787, 0.018011467531323433, 0.1602378785610199, 0.048215918242931366, -0.07136787474155426, 0.14381131529808044, -0.043539054691791534, 0.029675118625164032, 0.07266534864902496, 0.0828094407916069, -0.1299724131822586, 0.042608119547367096, -0.18129891157150269, -0.05585278943181038, -0.07664459943771362, -0.05481213331222534, 0.031030645594000816, 0.07436403632164001, -0.10572078824043274, 0.14778141677379608, -0.031196320429444313, -0.028817392885684967, -0.05487131327390671, 0.04422364383935928, -0.1471938192844391, 0.012546079233288765, 0.14429520070552826, -0.28751423954963684, 0.23611660301685333, 0.10834664106369019, 0.12293883413076401, 0.19450488686561584, 0.16586947441101074, 0.06043750047683716, -0.026260558515787125, -0.020478934049606323, -0.1534261852502823, -0.03307052701711655, -0.012869371101260185, -0.03422408550977707, 0.08901625871658325, 0.05384126305580139]
5	[-0.08671858161687851, 0.061530351638793945, 0.03170953691005707, 0.009421620517969131, -0.1666436791419983, 0.08166512846946716, -0.023190701380372047, -0.033453602343797684, 0.153946653008461, -0.10295873880386353, 0.10862069576978683, -0.04861987382173538, -0.19250278174877167, 0.08027862757444382, -0.028251785784959793, 0.07697363197803497, -0.17510181665420532, -0.03270828351378441, -0.11908385157585144, -0.15913745760917664, 0.011196698993444443, 0.1161167100071907, 0.024583598598837852, 0.012684601359069347, -0.15906397998332977, -0.32868754863739014, -0.03451629355549812, -0.11132186651229858, 0.0832730084657669, -0.034506142139434814, -0.016165340319275856, -0.0320805199444294, -0.16550476849079132, 0.002511395374312997, 0.09106086194515228, 0.08168096095323563, -0.06367367506027222, -3.4388423955533653e-05, 0.16920386254787445, 0.04058069735765457, -0.11035775393247604, 0.0030330270528793335, 0.12248451262712479, 0.2576804757118225, 0.11492640525102615, 0.10709888488054276, -0.018984006717801094, -0.06237877160310745, 0.17002569139003754, -0.19052717089653015, 0.08297508209943771, 0.13482163846492767, 0.1602698117494583, 0.11301574856042862, 0.12993983924388885, -0.17202472686767578, 0.006214549764990807, 0.15100550651550293, -0.06737158447504044, 0.17300531268119812, 0.0805191844701767, -0.01236308179795742, -0.004810142796486616, -0.04705549776554108, 0.2541012167930603, 0.03791406750679016, -0.12076010555028915, -0.13220451772212982, 0.09673644602298737, -0.1548480987548828, -0.0444570928812027, 0.07389234006404877, -0.07232382148504257, -0.13188789784908295, -0.1995508223772049, 0.028919601812958717, 0.4424014985561371, 0.11227245628833771, -0.1546960026025772, -0.10774970054626465, -0.059925638139247894, -0.04869336634874344, 0.05894457921385765, 0.09886614978313446, -0.12542705237865448, -0.06474664807319641, -0.01356521062552929, 0.03380708023905754, 0.24176549911499023, -0.03537910431623459, 0.015707528218626976, 0.22112207114696503, 0.02214670740067959, 0.019860677421092987, -0.06449787318706512, -0.03233945742249489, -0.19028037786483765, 0.0026458546053618193, -0.034790389239788055, -0.025983354076743126, 0.02385437674820423, -0.1710115522146225, 0.03665732964873314, 0.08661103993654251, -0.2991325855255127, 0.16166476905345917, -0.04081708565354347, -0.04225478693842888, 0.06072820723056793, 0.0904778465628624, -0.149447962641716, -0.006832699291408062, 0.2182091474533081, -0.30247196555137634, 0.21504482626914978, 0.21411415934562683, 0.05504998937249184, 0.14855022728443146, 0.018649114295840263, 0.08134079724550247, 0.041569147258996964, 0.07721378654241562, -0.1305682361125946, -0.09995703399181366, -0.02806423231959343, -0.11587849259376526, -0.05614671856164932, 0.01992996409535408]
